-149,-48
-82,4
92,-143
-268,-189
-244,-113
39,-25
32,-135
-21,75
-159,-109
-50,-67
-146,-7
18,-155
-107,-171
-82,-89
-261,27
-15,40
31,-199
-36,-153
-288,36
-176,-15
-203,-16
-69,-43
-256,-85
-15,-87
-205,-27
9,-1
64,-82
55,57
-23,57
44,-200
-175,-111
-148,-104
-17,-27
-47,94
-283,-162
86,-165
-166,-79
-83,26
92,-128
28,-120
-86,-124
2,-39
-98,-5
-162,32
42,91
-297,-65
-97,-77
-254,-136
-98,46
-90,-104
-96,15
-207,39
5,87
-2,-10
-20,62
-218,-174
-103,-112
-159,-145
-92,82
-78,-121
66,39
9,-84
-217,-39
-112,6
3,98
-74,-39
35,-124
-2,89
-192,66
-144,6
35,-33
-225,-110
-109,-10
-113,4
-178,-14
-253,42
-49,-93
10,-76
-195,52
44,-18
-211,-189
-63,-145
-139,-28
-44,-167
-296,-127
-96,-52
-13,-187
-132,-195
-295,-69
-119,63
-55,-33
44,-149
-68,36
-120,89
28,-183
-98,9
-73,75
12,-174
-55,-27
-156,-137
-284,70
-300,69
-47,-166
-57,13
-262,13
-277,-72
-95,54
75,49
-178,9
-269,-88
-299,63
-126,-95
55,-45
-119,-195
-155,64
0,-100
-9,-106
-14,70
-103,-92
65,11
-30,-20
-204,20
-137,-56
-213,-14
95,-35
22,-193
-151,93
-66,-122
36,-145
-42,-76
-214,-131
95,-27
-211,-178
-195,-59
-148,-47
-275,66
-243,-123
-284,-131
23,-64
-18,-150
-88,-196
-271,-48
-97,16
-280,43
-15,61
41,74
30,-95
65,-32
-222,-2
56,27
65,-151
-26,-39
-209,-61
8,31
-137,45
-278,-64
99,-97
-24,-159
-123,52
25,82
-183,20
-217,11
87,-85
34,65
-3,30
-87,-65
25,87
-4,-167
-110,-80
-121,15
-160,-187
0,65
-50,-153
-293,-155
-207,-58
62,-199
-9,-79
38,-152
-271,-113
-262,-148
-195,-26
-226,-151
50,-145
-194,95
94,-39
2,7
-19,95
-119,-45
-246,-173
-207,-200
-30,-21
-264,13
-25,-40
-286,60
-167,-43
-269,61
-24,-95
-253,-129
-267,-194
-4,71
